Date,AAPL,AMZN,AXP,BA,BHP,CAT,FB,GOOG,NFLX,MRK,JNJ,IVPAF,UFPI,SAM,RIO,PFE,WST,VALE,UTX,UNH
3/24/16,100.342873,582.950012,57.353249,121.515556,21.761269,68.649879,113.050003,735.299988,98.360001,48.491276,100.015388,0.635,25.955133,184.350006,22.740084,26.960131,64.089035,3.704921,92.327965,122.891205
3/28/16,99.887093,579.869995,57.173042,120.752144,21.803705,68.677216,113.690002,733.530029,101.209999,48.271984,99.941528,0.651,25.703842,189.399994,22.764704,26.691252,65.158012,3.787457,92.188164,123.206558
3/29/16,102.251556,593.859985,57.476543,120.375069,21.837652,69.306351,116.139999,744.77002,104.129997,48.719707,100.78183,0.65,26.683874,191.710007,22.649813,26.933247,67.54113,3.778286,93.315941,124.076241
3/30/16,104.036758,598.690002,57.182529,118.259682,22.321424,69.762276,114.699997,750.530029,102.190002,48.628342,100.634079,0.65,26.570793,183.210007,23.413012,26.951172,67.13903,3.888333,93.437088,123.932915
3/31/16,103.495514,593.640015,58.235317,116.751312,21.981937,69.789619,114.099998,744.950012,102.230003,48.345089,99.913818,0.65,26.957151,185.070007,23.199646,26.565773,67.982445,3.860821,93.297295,123.187477
4/1/16,104.445091,598.5,57.950775,116.769714,21.769758,70.017555,116.059998,749.909973,105.699997,49.066929,100.828011,0.63,27.378063,183.190002,23.11758,26.924288,69.208313,3.961698,93.176132,124.16227
4/4/16,105.518127,593.190002,57.49551,116.199455,20.938007,69.041931,112.550003,745.289978,104.349998,49.706535,100.273949,0.635,26.721569,179.419998,22.805735,27.533754,68.619904,3.723262,93.455734,123.751312
4/5/16,104.274162,586.140015,57.087669,116.834091,20.428772,68.604271,112.220001,737.799988,104.940002,49.560337,100.606377,0.629,26.734133,182.289993,22.420031,28.107376,68.041275,3.787457,93.073601,121.409889
4/6/16,105.366203,602.080017,57.068623,117.661858,20.632465,68.586037,113.709999,745.690002,104.830002,50.830406,101.04039,0.63,27.387487,179.179993,22.625193,29.514536,68.472801,3.759944,93.54895,122.356026
4/7/16,103.068192,591.429993,56.096512,116.806496,20.301464,67.628639,113.639999,740.280029,104.449997,50.638523,100.901863,0.637,26.181295,173.789993,22.099979,29.362167,67.560738,3.732433,94.033607,121.247429
4/8/16,103.182144,594.599976,56.706463,117.61586,21.022882,67.792763,110.629997,739.150024,103.809998,50.583706,100.744896,0.67,25.917439,176.619995,22.969866,29.129133,67.962837,4.108427,94.43438,120.110161
4/11/16,103.523987,595.929993,56.992371,117.643456,21.735807,68.048073,108.989998,736.099976,102.68,50.300446,100.624863,0.716,25.882889,176.759995,23.716652,28.582405,67.344978,4.475251,95.198662,120.731369
4/12/16,104.872406,603.169983,57.831055,119.078239,22.669399,69.388405,110.610001,743.090027,106.980003,50.56543,101.206604,0.7,25.725828,178.770004,24.570124,28.645142,68.757202,4.878757,96.074776,121.180542
4/13/16,106.391754,614.820007,59.241562,120.614189,24.197109,72.151192,110.510002,751.719971,109.650002,51.131939,101.455933,0.737,26.687016,178.929993,26.162174,29.164989,69.639824,5.172216,97.500809,122.098
4/14/16,106.448715,620.75,59.575134,120.347481,24.434748,72.07827,110.839996,753.200012,110.419998,51.579662,101.42823,0.72,26.837791,177.899994,26.178587,29.26358,69.767319,4.814563,97.566048,122.308235
4/15/16,104.312149,625.890015,59.222507,120.605003,24.536594,72.18766,109.639999,759,111.510002,51.29641,101.742188,0.73,26.862917,179.809998,25.98984,29.129133,69.92424,4.851245,97.463509,121.687057
4/18/16,102.061638,635.349976,59.651379,121.377586,25.376829,72.260612,110.449997,766.609985,108.400002,51.634487,102.434738,0.74,26.266106,179.479996,26.638149,29.22773,70.326988,4.832904,97.985466,122.14576
4/19/16,101.52037,627.900024,60.585369,122.030594,26.700838,73.300079,112.290001,753.929993,94.339996,51.954292,104.050728,0.836,26.621048,176.619995,27.737814,29.478687,70.690468,5.263922,97.864296,124.716568
4/20/16,101.729279,632.98999,61.967293,120.089958,27.608971,72.707405,112.419998,752.669983,96.769997,51.698448,104.881813,0.825,26.985422,178.029999,29.067261,29.783419,70.680641,5.566552,98.358261,127.994522
4/21/16,100.627762,631,62.529591,120.246307,26.94697,72.421974,113.440002,759.140015,94.980003,51.716717,104.872574,0.828,25.578197,173.309998,27.942972,29.792389,70.50383,5.07134,98.265076,127.067551
4/22/16,100.352371,620.5,62.834557,120.531433,27.006378,72.10894,110.559998,718.77002,95.900002,51.844643,104.641708,0.819,27.010553,159.410004,27.540859,29.819275,71.093239,4.970463,98.516731,128.185669
4/25/16,99.782631,626.200012,62.615364,120.255501,25.920017,70.700264,110.099998,723.150024,93.559998,51.369511,104.817169,0.776,25.64102,157.669998,26.580704,29.765495,70.994995,4.667833,98.05069,127.851204
4/26/16,99.089409,616.880005,63.091888,122.545639,26.352859,71.492081,108.760002,708.140015,92.43,51.205036,104.26313,0.763,25.986544,156.429993,26.843309,29.622093,70.680641,4.805393,97.677879,128.290817
4/27/16,92.888634,606.570007,63.120487,126.077423,26.242529,72.440392,108.889999,705.840027,91.040001,51.451744,104.133842,0.789,25.876604,156.479996,26.982819,29.577272,70.828018,5.126363,98.693794,126.914619
4/28/16,90.049362,602,62.748779,123.980423,26.38681,71.584137,116.730003,691.02002,90.279999,50.930923,103.866058,0.81,25.597048,155.410004,27.393147,29.496609,70.994995,5.153875,97.146614,126.216957
4/29/16,89.014297,659.590027,62.358044,123.980423,26.598991,71.556519,117.580002,693.01001,90.029999,50.10857,103.496681,0.831,24.076738,156.080002,27.622923,29.317354,69.943878,5.199728,97.277115,125.844246
5/2/16,88.919334,683.849976,62.596298,123.253822,26.454708,71.667007,118.57,698.210022,93.110001,50.528873,104.115372,0.856,26.002251,158.350006,27.491619,29.398018,70.582413,5.181386,97.277115,126.245667
5/3/16,90.381714,671.320007,61.805275,121.85585,25.096748,70.30439,117.43,692.359985,91.540001,50.327862,104.059975,0.807,25.216967,154.330002,25.784678,30.204674,69.482178,4.777881,95.189331,126.589684
